,grammar,seed,gamma,living_metric
249,organic,2,18,0.24218305855599773
250,organic,2,19,0.2546901648664014
251,organic,2,20,0.2689027856736782
252,organic,2,21,0.27799886299033544
253,organic,2,22,0.28823194997157475
254,organic,2,23,0.29903354178510516
255,organic,2,24,0.30869812393405344
256,organic,2,25,0.3172256964184196
257,organic,2,26,0.3251847640704946
258,organic,2,27,0.33939738487777144
259,organic,2,28,0.35304150085275726
260,organic,2,29,0.36441159749857877
261,line,2,1,0.004342431761786601
262,line,2,2,0.013027295285359801
263,line,2,3,0.024193548387096774
264,line,2,4,0.03287841191066997
265,line,2,5,0.043424317617866005
266,line,2,6,0.05397022332506204
267,line,2,7,0.062034739454094295
268,line,2,8,0.0707196029776675
269,line,2,9,0.07692307692307693
270,line,2,10,0.08684863523573201
271,line,2,11,0.09863523573200993
272,line,2,12,0.10794044665012408
273,line,2,13,0.1184863523573201
274,line,2,14,0.1271712158808933
275,line,2,15,0.13399503722084366
276,line,2,16,0.1433002481389578
277,line,2,17,0.15508684863523572
278,line,2,18,0.16563275434243177
279,line,2,19,0.17307692307692307
280,line,2,20,0.18114143920595532
281,line,2,21,0.19044665012406947
282,line,2,22,0.19913151364764267
283,line,2,23,0.206575682382134
284,line,2,24,0.2140198511166253
285,line,2,25,0.22146401985111663
286,line,2,26,0.22952853598014888
287,line,2,27,0.23511166253101737
288,line,2,28,0.24069478908188585
289,line,2,29,0.2487593052109181
290,hex,2,1,0.00749063670411985
291,hex,2,2,0.021722846441947566
292,hex,2,3,0.03670411985018727
293,hex,2,4,0.05318352059925094
294,hex,2,5,0.06816479400749063
295,hex,2,6,0.0749063670411985
296,hex,2,7,0.08089887640449438
297,hex,2,8,0.0898876404494382
298,hex,2,9,0.09737827715355805
299,hex,2,10,0.10486891385767791
300,hex,2,11,0.11235955056179775
301,hex,2,12,0.12434456928838951
302,hex,2,13,0.13782771535580524
303,hex,2,14,0.1453183520599251
304,hex,2,15,0.1543071161048689
305,hex,2,16,0.1647940074906367
306,hex,2,17,0.1760299625468165
307,hex,2,18,0.18801498127340824
308,hex,2,19,0.2
309,hex,2,20,0.21273408239700375
310,hex,2,21,0.22247191011235956
311,hex,2,22,0.23071161048689137
312,hex,2,23,0.2389513108614232
313,hex,2,24,0.24868913857677902
314,hex,2,25,0.2606741573033708
315,hex,2,26,0.2711610486891386
316,hex,2,27,0.27640449438202247
317,hex,2,28,0.28239700374531834
318,hex,2,29,0.2943820224719101
319,grid,2,1,0.005761843790012804
320,grid,2,2,0.0147247119078105
321,grid,2,3,0.02240717029449424
322,grid,2,4,0.029449423815621
323,grid,2,5,0.03713188220230474
324,grid,2,6,0.04481434058898848
325,grid,2,7,0.05313700384122919
326,grid,2,8,0.06402048655569782
327,grid,2,9,0.07554417413572344
328,grid,2,10,0.08706786171574904
329,grid,2,11,0.0941101152368758
330,grid,2,12,0.0973111395646607
331,grid,2,13,0.10307298335467349
332,grid,2,14,0.10947503201024328
