grammar,seed,living_metric_v1,living_metric_v2_lambda_0.1,living_metric_v2_lambda_1.1473684210526316,living_metric_v2_lambda_2.194736842105263,living_metric_v2_lambda_3.2421052631578946,living_metric_v2_lambda_4.289473684210526,living_metric_v2_lambda_5.336842105263157,living_metric_v2_lambda_6.384210526315789,living_metric_v2_lambda_7.43157894736842,living_metric_v2_lambda_8.478947368421052,living_metric_v2_lambda_9.526315789473683,living_metric_v2_lambda_10.573684210526315,living_metric_v2_lambda_11.621052631578946,living_metric_v2_lambda_12.668421052631578,living_metric_v2_lambda_13.71578947368421,living_metric_v2_lambda_14.76315789473684,living_metric_v2_lambda_15.810526315789472,living_metric_v2_lambda_16.857894736842105,living_metric_v2_lambda_17.905263157894737,living_metric_v2_lambda_18.95263157894737,living_metric_v2_lambda_20.0
line,6,0.030759162303664923,0.9692373349790978,0.721256112796869,0.5644199913651038,0.45968383272714425,0.38621452937049877,0.3324233493797866,0.2915823552250364,0.2596166210545291,0.23395589021854393,0.21291663847401543,0.19535771234123064,0.18048156314085603,0.16771550634688223,0.15663841814709276,0.14693406905564085,0.13836056219231696,0.13072979654627165,0.12389334243452305,0.11773252200382432,0.11215131081087686
hex,6,0.07181889149102264,0.967956832694439,0.7115119516482669,0.5516284878188988,0.44628747336152813,0.37325600219755595,0.3202899575420945,0.28036193885510574,0.24926818370838577,0.22439061340676048,0.20403522977974722,0.1870665013151914,0.17269839808142465,0.1603709248130124,0.14967478732774633,0.14030399987682585,0.1320252025282603,0.12465726151788141,0.11805737092330315,0.11211137018721198,0.10672686054829983
grid,6,0.04072398190045249,0.9669405028095395,0.7040630570384455,0.5420207893324901,0.4362697607632726,0.3635528682647892,0.3112002850552358,0.27200058510095987,0.24166612872372367,0.21753839820738985,0.19790313426774558,0.18161473896720837,0.16788269906031603,0.156145773125897,0.14599534068690848,0.13712721051400625,0.12931043123239935,0.12236656560002841,0.11615558430695093,0.11056605482798648,0.10550818236622653
organic,7,0.08919667590027701,0.9761375628865325,0.7804399623415444,0.6517086861412744,0.5618372833988855,0.4958315065345023,0.44529596321554893,0.40529246705325345,0.3727728083061215,0.34576803135945516,0.3229527130166428,0.3034014243238231,0.28644718007112985,0.2715959787288757,0.25847331277274355,0.2467895497391315,0.2363168312862607,0.22687322755605496,0.21831159722328355,0.21051158238805653,0.20337374324282076
line,7,0.035924232527759635,0.9686818205783879,0.7175691723137322,0.5601997611668457,0.4558392463723555,0.3829995012938436,0.3298512330484668,0.28958937423094594,0.2581238009958909,0.23289039974308995,0.21221736219373305,0.19497510390478295,0.1803757634020176,0.1678542314267075,0.15699512160393456,0.14748649234260183,0.13908964734262472,0.13161889461173187,0.12492764855429947,0.1188986778187411,0.11343712733603888
hex,7,0.08090379008746355,0.9680832760967993,0.7129193479531029,0.5539486523540281,0.4491336834243961,0.37636781513316653,0.32352105799097863,0.2836408974298642,0.2525660263832738,0.22769986962043462,0.20735790307081164,0.19040772736875652,0.17606338897483134,0.16376368830165344,0.15309774679242347,0.14375803651656283,0.13550987018464633,0.12817105051963756,0.1215979640976936,0.11567586821507127,0.11031197037581811
grid,7,0.03830911492734478,0.9664122555711715,0.7007028293329809,0.5381546916327509,0.4325317102870019,0.3600514946302446,0.30790617281258664,0.26886475754138467,0.23865002359333318,0.2146171567087963,0.19506239766055655,0.17884694792646366,0.16518429351157762,0.15351534848752166,0.1434325185534021,0.1346319827873116,0.1268828002531583,0.12000636276979083,0.11386239314599929,0.10833919305240419,0.10334671563864595
organic,8,0.09781287970838397,0.9759889752627479,0.7797224871206628,0.6514219996525883,0.5623919666568941,0.4973883313351573,0.447897004335831,0.408916981697051,0.3773649164135899,0.3512526605691849,0.32924570499827904,0.3104161424734686,0.2940987618546885,0.27980393646631174,0.2671629808697941,0.2558927459903866,0.24577200178356595,0.23662526813107318,0.22831148563234935,0.2207159118482627,0.2137442165549071
line,8,0.035758323057953144,0.970330178778613,0.7303369799030911,0.5774122055891177,0.4744621858116176,0.4016639995190034,0.34796165278771746,0.30691327572744553,0.2745997666219061,0.24853630398288426,0.2270858890776168,0.2091319647188549,0.1938890519215574,0.18078934849736095,0.16941252546236693,0.15944089173208237,0.15062992550685392,0.14278839125954024,0.13576460228044285,0.12943672423466973,0.12370579816070401
hex,8,0.07879234167893961,0.9692731902908894,0.7215496997699163,0.5647718050079573,0.4600109337484313,0.386523970696346,0.3327601869357233,0.2919977396370588,0.26015414382287755,0.23464804348741672,0.2137856047514455,0.19641746276984504,0.18173997414784013,0.169176075538883,0.158301531539332,0.14879789776636823,0.14042168830739263,0.13298365278797047,0.12633452749333576,0.12035503334060237,0.1149487219176814
